iter	RMSE
0	17.81212414
1	16.68034023
2	15.70358027
3	14.6143979
4	13.62133502
5	12.81803705
6	12.04210151
7	11.30776392
8	10.78074653
9	10.2470908
10	9.786379065
11	9.347657808
12	8.945907133
13	8.559686348
14	8.188007775
15	7.864014723
16	7.668945506
17	7.433533307
18	7.246466702
19	7.041648075
20	6.845363795
21	6.6591344
22	6.499764512
23	6.358217038
24	6.207362871
25	6.09976753
26	5.984812811
27	5.883649506
28	5.799579632
29	5.709196383
30	5.620911376
31	5.550269577
32	5.485700562
33	5.403005367
34	5.342201482
35	5.286049399
36	5.235137719
37	5.164682136
38	5.103995826
39	5.057809947
40	5.020318875
41	4.967442383
42	4.926042331
43	4.893727338
44	4.861926637
45	4.819236707
46	4.794482042
47	4.767896551
48	4.735454478
49	4.708482239
50	4.685103709
51	4.664800474
52	4.639535634
53	4.621458726
54	4.603546256
55	4.578751534
56	4.562454949
57	4.547063465
58	4.531029093
59	4.51073005
60	4.489040473
61	4.470930587
62	4.455854725
63	4.434347549
64	4.419261436
65	4.403962794
66	4.389103342
67	4.368291671
68	4.354680094
69	4.330442073
70	4.320698255
71	4.303169231
72	4.289096525
73	4.275227848
74	4.259901532
75	4.248222194
76	4.234457144
77	4.219449475
78	4.207729803
79	4.201258929
80	4.18813194
81	4.17368917
82	4.16323721
83	4.152794435
84	4.138177141
85	4.12293167
86	4.11384602
87	4.095506715
88	4.085772957
89	4.076503721
90	4.068279011
91	4.058444193
92	4.036765382
93	4.029286145
94	4.022350244
95	4.004790715
96	3.990926677
97	3.980576557
98	3.969214129
99	3.962367094
