iter	Passed	Remaining
0	1	109
1	1	67
2	1	54
3	1	47
4	2	42
5	2	42
6	3	47
7	3	45
8	4	43
9	4	41
10	4	39
11	5	37
12	5	36
13	5	35
14	6	34
15	6	33
16	6	32
17	6	30
18	7	30
19	7	29
20	7	29
21	8	28
22	8	28
23	8	27
24	8	26
25	9	26
26	9	26
27	9	25
28	10	24
29	10	25
30	11	25
31	11	24
32	11	24
33	12	23
34	12	23
35	12	22
36	13	22
37	13	22
38	13	21
39	14	21
40	14	20
41	14	20
42	15	20
43	15	19
44	15	19
45	16	18
46	16	18
47	16	18
48	17	17
49	17	17
50	17	17
51	18	16
52	18	16
53	18	16
54	19	15
55	19	15
56	19	14
57	19	14
58	20	14
59	20	13
60	20	13
61	21	13
62	21	12
63	22	12
64	23	12
65	23	12
66	24	11
67	24	11
68	24	11
69	25	10
70	25	10
71	26	10
72	26	9
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	30	7
80	30	7
81	31	6
82	31	6
83	32	6
84	32	5
85	33	5
86	33	5
87	33	4
88	34	4
89	34	3
90	35	3
91	35	3
92	36	2
93	36	2
94	37	1
95	37	1
96	37	1
97	38	0
98	39	0
99	40	0
